states,cities,population,total_crime,murder,rape,robbery,agrv_assault,tot_violent_crime,burglary,larceny,vehicle_theft,tot_prop_crim,arson
 Minnesota,Minneapolis,"418,971",5768.18,10.02,122.68,434.16,534.4,524.15,897.91,919.27,569.97,,25.54
 Minnesota,St. Paul,"306,696",4262.86,7.17,70.75,227.26,345.62,650.81,741.45,919.27,679.5,,46.63
 Missouri,Kansas City,"484,948",6309.55,30.93,91.76,383.13,373.09,524.15,960.52,919.27,912.88,,41.45
 Missouri,St. Louis,"310,284",8188.31,66.07,93.14,626.52,373.09,524.15,530.28,919.27,874.36,,64.78
 Nebraska,Omaha,"449,388",4527.49,6.9,91.24,139.08,410.11,647.32,464.63,919.27,778.84,,18.37
 Nevada,Henderson,"299,285",2025.17,3.34,28.74,80.19,72.84,185.11,363.87,919.27,214.18,,7.02
 Nevada,Las Vegas,"627,244",3567.87,12.6,79.64,211.15,315.5,618.9,805.17,919.27,503.06,,5.59
 Nevada,North Las Vegas,"242,537",3405.26,9.07,47.83,232.95,724.84,524.15,804.0,919.27,544.66,,4.54
 Nevada,Reno,"248,531",3766.53,7.64,57.14,153.7,455.07,673.56,541.98,919.27,576.19,,7.24
 New Jersey,Jersey City,"267,906",2330.67,7.84,45.91,199.32,256.43,509.51,417.68,919.27,183.27,,14.18
 New Jersey,Newark,"283,673",3316.84,27.14,40.89,377.19,451.22,896.45,423.73,919.27,843.22,,25.38
 New Mexico,Albuquerque,"561,375",8734.98,12.47,84.26,521.93,750.48,524.15,530.28,919.27,433.86,,18.37
 New York,Buffalo,"256,169",4930.34,15.61,55.43,334.54,613.66,524.15,919.71,919.27,325.18,,74.95
 New York,New York,"8,804,190",1987.49,3.39,27.56,162.42,345.52,538.9,128.87,919.27,66.56,,18.37
 North Carolina8,Charlotte-Mecklenburg,"914,609",3836.39,9.4,56.57,220.53,433.52,524.15,701.5,919.27,286.68,,21.21
 North Carolina8,Durham,"269,088",3837.78,8.55,56.57,316.63,467.13,524.15,867.37,919.27,283.18,,11.52
 North Carolina8,Greensboro,"290,051",3601.78,15.86,56.57,228.93,480.61,524.15,710.91,919.27,291.67,,39.65
 Ohio,Cincinnati,"309,317",5997.0,23.4,97.62,399.84,426.26,947.12,530.28,919.27,496.46,,18.37
 Ohio,Cleveland,"372,624",6538.45,27.77,128.97,699.88,700.14,524.15,530.28,919.27,881.01,,65.65
 Ohio,Columbus,"905,748",4501.8,16.28,105.37,225.06,166.7,513.41,815.29,919.27,478.79,,43.45
 Ohio,"Toledo4,5,7","270,871",4003.74,12.63,56.57,281.47,661.82,524.15,530.28,919.27,268.84,,18.37
 Oklahoma,Oklahoma City,"648,260",4552.5,12.49,73.12,172.77,528.95,787.34,941.75,919.27,431.93,,12.65
 Oklahoma,Tulsa,"404,868",6532.01,17.29,104.48,238.1,680.96,524.15,530.28,919.27,854.6,,35.57
 Oregon,Portland,"649,408",6239.99,3.7,67.45,160.92,283.64,515.7,729.13,919.27,433.86,,47.27
 Pennsylvania,Philadelphia,"1,603,797",4037.27,20.06,75.02,382.46,470.04,947.58,418.25,919.27,348.0,,26.21
 Pennsylvania,Pittsburgh,"305,932",3815.23,17.98,29.42,262.15,346.81,656.36,526.26,919.27,222.27,,44.45
 Tennessee,Memphis,"652,765",8357.07,27.73,90.38,529.59,373.09,524.15,530.28,919.27,613.08,,55.92
 Tennessee,Nashville,"674,942",4966.5,16.3,72.9,303.14,745.84,524.15,631.31,919.27,380.03,,10.37
 Texas,Arlington4,"397,377",3721.91,4.78,63.92,144.95,303.24,516.89,453.22,919.27,342.24,,7.3
 Texas,Austin,"971,949",3612.23,2.57,85.81,101.55,224.91,414.84,450.64,919.27,213.9,,7.82
 Texas,Corpus Christi,"329,256",4285.11,6.38,70.46,142.75,482.91,702.49,677.89,919.27,222.02,,17.31
 Texas,Dallas,"1,304,379",3985.95,12.48,62.08,327.0,373.09,774.64,737.66,919.27,591.16,,26.22
 Texas,El Paso,"688,667",2203.25,2.76,53.87,58.08,264.13,378.85,188.33,919.27,116.17,,5.52
 Texas,Fort Worth,"873,069",3792.83,8.02,65.17,147.3,339.72,560.21,585.98,919.27,309.94,,17.3
 Texas,Garland,"236,243",3355.44,3.39,54.6,135.03,123.6,316.62,513.88,919.27,342.87,,6.35
 Texas,Houston,"2,304,580",5252.08,11.5,58.42,417.96,607.34,524.15,731.66,919.27,495.93,,28.44
 Texas,Irving,"242,062",2775.73,3.3,22.31,94.19,107.0,226.8,400.31,919.27,293.73,,9.5
 Texas,Laredo,"260,669",2832.71,3.84,43.73,59.08,215.22,321.86,335.29,919.27,65.22,,27.24
 Texas,Plano,"290,413",1892.14,5.17,27.89,40.98,75.75,149.79,250.68,919.27,116.73,,8.61
 Texas,San Antonio,"1,434,625",5565.95,8.15,83.51,151.11,464.72,707.5,770.82,919.27,451.37,,13.61
 Virginia,Chesapeake,"240,119",2699.5,4.58,36.23,82.46,295.69,418.96,276.11,919.27,104.12,,8.33
 Virginia,Norfolk,"245,190",4308.09,14.68,55.06,151.31,334.84,555.9,471.47,919.27,292.83,,3.26
 Virginia,Virginia Beach,"454,353",2083.4,3.08,22.45,59.87,52.16,137.56,165.95,919.27,101.02,,11.22
 Washington,Seattle,"721,365",5911.99,3.74,36.87,210.02,382.05,632.69,530.28,919.27,503.21,,20.66
 Washington,Spokane,"217,066",7881.01,2.76,109.64,105.5,408.63,626.54,530.28,919.27,800.22,,23.03
 Wisconsin,Madison,"255,850",3040.46,4.3,37.13,82.86,250.15,374.44,362.32,919.27,168.85,,3.91
 Wisconsin,Milwaukee,"595,168",5441.99,19.83,72.92,490.45,373.09,524.15,927.13,919.27,924.61,,52.59
