states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
California,Cerritos,"49,856",240.7,0.0,14.0,134.4,92.3,3750.8,884.5,2513.2,353.0
North Carolina,Chapel Hill,"58,586",148.5,3.4,17.1,51.2,76.8,2548.4,771.5,1654.0,122.9
Virginia,Charlottesville,"43,991",450.1,4.5,38.6,113.7,293.2,3414.3,368.3,2832.4,213.7
Michigan,Chesterfield Township,"43,474",278.3,0.0,16.1,32.2,230.0,2044.9,296.7,1640.1,108.1
Missouri,Chesterfield,"47,560",48.4,0.0,4.2,14.7,29.4,1587.5,143.0,1402.4,42.1
Massachusetts,Chicopee,"55,825",462.2,0.0,48.4,129.0,284.8,3007.6,1135.7,1657.0,215.0
Ohio,Cleveland Heights,"45,761",367.1,0.0,21.9,240.4,104.9,3601.3,666.5,2768.7,166.1
Tennessee,Cleveland,"42,068",881.9,0.0,68.9,92.7,720.3,5289.1,946.1,4162.3,180.7
California,Coachella,"42,034",630.4,11.9,21.4,159.4,437.7,3680.4,1008.7,1855.6,816.0
Florida,Coconut Creek,"54,651",195.8,1.8,18.3,58.6,117.1,2967.9,494.0,2314.7,159.2
Idaho,Coeur d'Alene,"45,267",574.4,0.0,57.4,30.9,486.0,4369.6,952.1,3081.7,335.8
Ohio,Colerain Township,"58,345",27.4,0.0,0.0,0.0,27.4,2668.6,270.8,2396.1,1.7
Tennessee,Collierville,"44,690",172.3,0.0,11.2,15.7,145.4,1984.8,181.2,1761.0,42.5
California,Colton,"53,431",353.7,0.0,18.7,157.2,177.8,3569.1,984.4,1922.1,662.5
Indiana,Columbus,"44,817",185.2,2.2,26.8,49.1,107.1,4931.2,584.6,3944.9,401.6
Colorado,Commerce City,"47,590",357.2,14.7,56.7,35.7,250.1,2983.8,619.9,2103.4,260.6
New Hampshire,Concord,"42,815",214.9,0.0,51.4,44.4,119.1,2970.9,425.1,2482.8,63.1
