states,cities,safety_index
Connecticut,Manchester,639.495
Ohio,Mansfield,1473.7700000000002
Texas,Mansfield,330.735
Florida,Margate,451.02
Arizona,Maricopa,392.035
Georgia,Marietta,983.69
New Jersey,Marlboro Township,171.05500000000004
Ohio,Mentor,532.445
Mississippi,Meridian,1124.365
Massachusetts,Methuen,377.8250000000001
Ohio,"Miami Township, Clermont County",400.13000000000005
Pennsylvania,Middletown Township,718.8650000000001
Connecticut,Middletown,386.085
Ohio,Middletown,1828.77
Michigan,Midland,234.54
Oklahoma,Midwest City,1147.36
Connecticut,Milford,606.065
Pennsylvania,"Millcreek Township, Erie County",437.92
Minnesota,Minnetonka,348.4650000000001
North Dakota,Minot,364.37
Indiana,Mishawaka,1201.11
Illinois,Moline,683.09
Louisiana,Monroe,1753.745
Oklahoma,Moore,853.8649999999999
New Jersey,Mount Laurel Township,354.095
Illinois,Mount Prospect,281.39
California,National City,628.09
New Jersey,New Brunswick,651.3500000000001
California,Newark,662.1550000000001
Ohio,Newark,1000.91
New York,Niagara Falls,1377.3950000000002
Illinois,Normal,540.09
New Jersey,North Brunswick Township,384.32
Florida,North Lauderdale,640.5749999999999
Florida,North Miami Beach,1040.41
Florida,North Port,414.39
Connecticut,Norwich,520.785
California,Novato,382.385
Michigan,Novi,381.58
Illinois,Oak Lawn,412.975
Florida,Oakland Park,1198.4700000000005
Florida,Ocala,1204.88
Washington,Olympia,925.74
Illinois,Orland Park,480.0
Arizona,Oro Valley,331.92
Kentucky,Owensboro,907.34
Florida,Palm Beach Gardens,665.16
California,Palm Desert,991.405
California,Palm Springs,1074.425
California,Paramount,513.675
Colorado,Parker,212.625
New Jersey,Parsippany-Troy Hills Township,197.895
Massachusetts,Peabody,454.87500000000006
Pennsylvania,Penn Hills,454.72
Florida,Pensacola,1302.13
New Jersey,Perth Amboy,533.635
California,Petaluma,316.215
Texas,Pflugerville,347.67499999999995
Arkansas,Pine Bluff,1601.3300000000002
Florida,Pinellas Park,1173.795
New Jersey,Piscataway Township,205.495
Massachusetts,Pittsfield,602.655
California,Placentia,367.605
New Jersey,Plainfield,685.2499999999999
Idaho,Pocatello,590.495
Texas,Port Arthur,1004.485
Florida,Port Orange,523.3750000000001
Michigan,Portage,731.165
California,Porterville,698.3000000000002
New York,Poughkeepsie Town,671.48
California,Poway,257.63
Arizona,Prescott,619.985
Illinois,Quincy,723.14
California,Rancho Palos Verdes,257.715
California,Rancho Santa Margarita,141.115
Washington,Redmond,437.69
Massachusetts,Revere,512.0550000000001
Washington,Richland,528.4200000000001
California,Rocklin,327.115
North Carolina,Rocky Mount,1400.73
Arkansas,Rogers,789.165
California,Rohnert Park,426.57
California,Rosemead,325.035
Michigan,Roseville,844.0899999999999
New Mexico,Roswell,1196.465
Texas,Rowlett,368.965
