states,cities,safety_index
 California,Fresno,457.65350000000007
 California,Irvine,251.48800000000003
 California,Long Beach,442.83850000000007
 California,Los Angeles,409.4335
 California,Oakland,518.5145
 California,Riverside,403.2305
 California,Sacramento,444.7840000000001
 California,San Bernardino,621.181
 California,San Diego,316.9685
 California,San Francisco,438.18050000000005
 California,San Jose,368.4985
 California,Santa Ana,343.99800000000005
 California,Santa Clara,292.627
 California,Stockton4,579.9565
 Colorado,Aurora,404.8065
 Colorado,Colorado Springs,407.3505
 Colorado,Denver,464.1045
 District of Columbia,"Washington, D.C.",389.505
 Florida,Hialeah,286.3065
 Florida,Jacksonville,441.9745
 Florida,Miami,431.86300000000006
 Florida,Orlando,516.2345
 Florida,St. Petersburg,463.1170000000001
 Florida,Tampa,334.3635
 Georgia,Atlanta,516.9215
 Georgia,Savannah,400.0815
 Hawaii,Honolulu,317.074
 Idaho,Boise,310.6075
 Illinois,Chicago,463.2585000000001
 Indiana,Fort Wayne,362.122
 Indiana,Indianapolis,520.8305
 Iowa,Des Moines,435.8805
 Kansas,Wichita,566.0740000000001
 Kentucky,Lexington,406.5125000000001
 Kentucky,Louisville Metro6,503.5825
 Louisiana,Baton Rouge,470.9515
 Louisiana,New Orleans,500.4235000000001
 Maryland,Baltimore,611.587
 Massachusetts,Boston,357.86249999999995
 Michigan,Detroit,449.7835
 Minnesota,Minneapolis,574.177
 Minnesota,St. Paul,485.91100000000006
 Missouri,Kansas City,577.72
 Missouri,St. Louis,497.982
 Nebraska,Omaha,424.537
 Nevada,Henderson,307.8505
 Nevada,Las Vegas,488.59350000000006
 Nevada,North Las Vegas,550.2515
 Nevada,Reno,438.64900000000006
 New Jersey,Jersey City,361.601
 New Jersey,Newark,445.50950000000006
 New Mexico,Albuquerque,513.1785
 New York,Buffalo,563.428
 New York,New York,290.734
 North Carolina8,Charlotte-Mecklenburg,467.71100000000007
 North Carolina8,Durham,523.5275
 North Carolina8,Greensboro,479.1855
 Ohio,Cincinnati,458.442
 Ohio,Cleveland,552.546
 Ohio,Columbus,472.1060000000001
 Ohio,"Toledo4,5,7",464.8375000000001
 Oklahoma,Oklahoma City,546.693
 Oklahoma,Tulsa,498.1495
 Oregon,Portland,453.7675
 Pennsylvania,Philadelphia,425.0795
 Pennsylvania,Pittsburgh,410.408
 Tennessee,Memphis,469.198
 Tennessee,Nashville,512.608
 Texas,Arlington4,381.3610000000001
 Texas,Austin,360.067
 Texas,Corpus Christi,459.14200000000005
 Texas,Dallas,494.5705
 Texas,El Paso,287.9735
 Texas,Fort Worth,419.2540000000001
 Texas,Garland,367.479
 Texas,Houston,532.0295000000001
 Texas,Irving,326.81300000000005
 Texas,Laredo,314.07750000000004
 Texas,Plano,271.3855
 Texas,San Antonio,493.52
 Virginia,Chesapeake,314.997
 Virginia,Norfolk,389.42800000000005
 Virginia,Virginia Beach,246.9105
 Washington,Seattle,424.142
 Washington,Spokane,439.6575
 Wisconsin,Madison,333.043
 Wisconsin,Milwaukee,577.142
