state,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december
Alabama,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.166666666666664
Arizona,43.37,45.14,50.07,56.64,63.21,72.46000000000001,80.03999999999999,80.58000000000001,76.88888888888889,68.41111111111111,57.666666666666664,47.97777777777778
Arkansas,42.589999999999996,41.589999999999996,47.56,56.029999999999994,64.47,73.14,78.81,79.6,76.76666666666667,68.85555555555555,56.577777777777776,47.56666666666667
California,45.25,46.980000000000004,49.85,54.489999999999995,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.3111111111111,56.93333333333333,48.47777777777778
Colorado,26.9,27.43,32.839999999999996,40.45,47.980000000000004,58.52,66.84,67.9,63.75555555555555,54.044444444444444,42.01111111111111,32.1
Connecticut,31.01,28.610000000000003,33.019999999999996,41.88,53.06,62.970000000000006,70.33,72.63,68.06666666666666,59.43333333333333,47.81111111111111,37.82222222222222
Delaware,38.31,36.3,40.92,49.28,59.470000000000006,68.83,75.78,77.22999999999999,73.11111111111111,65.34444444444445,53.72222222222222,44.27777777777778
Florida,61.19,61.08,64.80999999999999,68.97,74.09,78.91,81.87,82.62,81.65555555555555,77.95555555555556,71.0,65.2
Georgia,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.099999999999994,53.58888888888889
Idaho,25.18,26.65,31.860000000000003,38.85,46.160000000000004,55.0,63.65,66.96000000000001,61.111111111111114,50.52222222222222,39.111111111111114,29.233333333333334
Illinois,30.310000000000002,27.580000000000002,34.64,46.15,57.589999999999996,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554
Indiana,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224
Iowa,23.509999999999998,20.47,28.560000000000002,41.68,53.55,65.56,72.22999999999999,72.08,68.43333333333334,58.55555555555556,43.91111111111111,31.799999999999997
Kansas,33.279999999999994,32.239999999999995,38.92,49.22,58.32000000000001,69.51,77.17999999999999,77.65,73.80000000000001,63.84444444444445,50.166666666666664,39.27777777777778
Kentucky,37.489999999999995,35.96,42.12,51.12,60.870000000000005,69.7,74.99,75.77000000000001,72.69999999999999,64.83333333333333,52.27777777777778,42.93333333333333
Louisiana,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.166666666666664
Maine,19.78,17.27,22.169999999999998,32.739999999999995,45.75,56.52,63.9,66.44,61.98888888888889,52.5,40.099999999999994,28.155555555555555
Maryland,36.910000000000004,35.07,40.010000000000005,48.78,59.129999999999995,68.3,74.94,76.28999999999999,72.27777777777777,64.38888888888889,52.48888888888889,42.87777777777777
Massachusetts,29.839999999999996,27.54,31.74,40.57,51.98,62.0,69.28999999999999,71.65,67.13333333333334,58.34444444444445,46.766666666666666,36.71111111111111
Michigan,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.477777777777778
Minnesota,13.959999999999999,10.709999999999999,19.21,33.61,47.15,60.339999999999996,67.76,68.33,63.64444444444444,52.78888888888889,37.53333333333333,23.48888888888889
Mississippi,48.160000000000004,47.86,53.760000000000005,60.44,67.67999999999999,75.42999999999999,80.06,80.72,78.74444444444445,72.0,60.455555555555556,52.333333333333336
Missouri,34.230000000000004,32.239999999999995,39.18,49.839999999999996,59.67999999999999,69.7,75.97,76.3,72.93333333333334,64.07777777777778,50.888888888888886,40.63333333333334
Montana,22.45,21.759999999999998,26.68,36.45,45.410000000000004,55.5,64.03999999999999,66.84,60.77777777777778,49.44444444444444,37.2,26.833333333333332
Nebraska,27.1,25.910000000000004,32.45,43.08,52.46,64.33,72.6,73.32000000000001,69.01111111111112,58.17777777777778,44.44444444444444,33.36666666666667
Nevada,32.89,34.910000000000004,39.489999999999995,45.81,52.44,62.120000000000005,71.62,73.92999999999999,68.35555555555555,57.800000000000004,46.51111111111111,36.86666666666667
New Hampshire,23.22,20.85,25.54,35.5,48.25,58.75,65.63,67.75,63.199999999999996,54.15555555555555,41.84444444444445,30.700000000000003
New Jersey,35.05,32.910000000000004,37.47,46.14,56.79,66.37,73.67999999999999,75.57000000000001,71.24444444444445,62.955555555555556,51.15555555555555,41.5
New Mexico,36.3,37.6,43.29,50.239999999999995,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
New York,25.509999999999998,22.45,27.27,37.22,49.980000000000004,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
North Carolina,43.47,42.730000000000004,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.044444444444444
North Dakota,14.190000000000001,11.92,19.39,32.97,46.21,59.65,67.67999999999999,68.85,63.29999999999999,51.18888888888889,36.01111111111111,22.366666666666667
Ohio,31.619999999999997,29.04,34.980000000000004,45.160000000000004,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556
Oklahoma,40.260000000000005,39.62,46.07,55.239999999999995,63.52,73.13,79.96000000000001,81.06,77.55555555555556,68.47777777777777,55.75555555555556,45.67777777777778
Oregon,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778
Pennsylvania,29.939999999999998,27.45,32.61,42.260000000000005,53.75,63.279999999999994,69.57000000000001,71.03999999999999,67.13333333333334,58.955555555555556,46.733333333333334,36.71111111111111
Rhode Island,32.97,30.47,34.35,42.519999999999996,52.989999999999995,62.67999999999999,70.24,72.92,68.68888888888888,60.27777777777778,49.24444444444444,39.644444444444446
South Carolina,48.019999999999996,47.739999999999995,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.6888888888889,59.833333333333336,51.96666666666667
South Dakota,21.009999999999998,19.5,26.410000000000004,38.160000000000004,49.06,61.83,70.58,71.76,66.6,54.87777777777777,40.53333333333333,28.255555555555553
Tennessee,40.769999999999996,39.85,45.82,53.779999999999994,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778
Texas,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.166666666666664
Utah,28.160000000000004,30.26,36.8,44.11,51.370000000000005,61.96,71.28999999999999,72.91,67.42222222222222,56.46666666666667,44.21111111111111,33.577777777777776
Vermont,21.630000000000003,18.869999999999997,23.77,34.06,47.38,58.07000000000001,64.72,66.82000000000001,62.36666666666666,53.5,40.96666666666667,29.599999999999998
Virginia,38.42,37.339999999999996,42.53,50.660000000000004,60.160000000000004,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.599999999999994,43.68888888888889
Washington,31.919999999999998,33.01,36.760000000000005,42.87,49.86,57.02,63.42999999999999,66.86,62.41111111111112,52.977777777777774,42.922222222222224,34.63333333333333
West Virginia,34.410000000000004,32.769999999999996,38.43,47.18,57.15,65.52000000000001,70.88,72.12,69.04444444444444,61.388888888888886,49.31111111111111,40.2
Wisconsin,19.03,15.459999999999999,22.79,35.55,48.42,60.65,67.54,68.34,64.22222222222223,54.18888888888889,40.06666666666667,27.733333333333334
Wyoming,22.380000000000003,22.419999999999998,27.7,36.03,43.89,54.61,63.85,66.02000000000001,60.56666666666667,49.577777777777776,37.28888888888889,27.11111111111111
