City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index,education_score
auburn,ny,93.7,36,new york,33105,27876,Cayuga,26674,1235.6,America/New_York,13021 13024 13022,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,65,65
auburn,al,91.9,1,alabama,59694,38029,Lee,105386,476.6,America/Chicago,36849 36832 36830 36831,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,85,75
austin,tx,106.6,48,texas,122203,118410,Travis,1905945,1154.1,America/Chicago,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,70,80
bakersfield,ca,102.9,6,california,71025,56986,Kern,571992,1038.8,America/Los_Angeles,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93383 93384 93385 93387 93389 93390,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.31111111,56.93333333333333,48.47777777777778,40,55
baltimore,md,107,24,maryland,75318,63290,Baltimore,2196524,2788.2,America/New_York,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21223 21226 21201 21224 21225 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,36.91,35.07,40.010000000000005,48.78,59.13,68.3,74.94,76.28999999999999,72.27777777777777,64.38888888888889,52.48888888888889,42.87777777777777,30,65
baton rouge,la,91.1,22,louisiana,56178,39487,East Baton Rouge,635671,1001.4,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,40,55
beaumont,tx,88.6,48,texas,50471,300000,Jefferson,140930,537.6,America/Chicago,77708 77705 77706 77707 77701 77702 77703 77713 77704 77710 77720 77725 77726,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,45,50
bellingham,wa,111.6,53,washington,82398,75858,Whatcom,129880,1250.8,America/Los_Angeles,98225 98226 98229 98228,31.92,33.01,36.760000000000005,42.87,49.86,57.02,63.42999999999999,66.86,62.41111111111112,52.977777777777774,42.922222222222224,34.63333333333333,85,75
billings,mt,95.7,30,montana,31722,24879,Yellowstone,131519,998.3,America/Denver,59106 59105 59102 59101 59104 59107 59108 59115 59116 59117,22.45,21.76,26.68,36.45,45.41,55.5,64.03999999999999,66.84,60.77777777777778,49.44444444444444,37.2,26.83333333333333,70,60
binghamton,ny,93.3,36,new york,78956,69168,Broome,156375,1754.4,America/New_York,13904 13905 13901 13903,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,50,65
birmingham,al,90.7,1,alabama,92018,74570,Jefferson,782111,526.4,America/Chicago,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35203 35207 35206 35205 35204 35209 35208 35094 35254 35068 35061 35228 35234 35235 35233 35243 35242 35249 35201 35202 35220 35232 35237 35238 35246 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35298,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,40,55
bismarck,nd,93.1,38,north dakota,53655,45684,Burleigh,99433,820.3,America/Chicago,58505 58504 58501 58503 58507,14.19,11.92,19.39,32.97,46.21,59.65,67.67999999999999,68.85,63.29999999999999,51.18888888888889,36.01111111111111,22.366666666666667,85,70
blacksburg,va,94.5,51,virginia,47023,25833,Montgomery,71277,883.1,America/New_York,24061 24060 24062 24063 24111,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889,90,80
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,80,80
boston,ma,132.6,25,massachusetts,48874,25568,Suffolk,4328315,5319,America/New_York,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02133 02132 02131 02130 02203 02205 02163 02108 02109 02112 02117 02123 02137 02196 02201 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,29.84,27.54,31.74,40.57,51.98,62,69.28999999999999,71.65,67.13333333333334,58.34444444444445,46.766666666666666,36.71111111111111,65,85
boulder,co,118.7,8,colorado,119826,300000,Boulder,118090,1534.8,America/Denver,80310 80304 80305 80302 80303 80301 80307 80309 80314,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1,90,85
bowling green,ky,87,21,kentucky,47429,35052,Warren,99669,681.7,America/Chicago,42104 42103 42101 42102,37.49,35.96,42.12,51.12,60.870000000000005,69.7,74.99,75.77000000000001,72.69999999999999,64.83333333333333,52.27777777777778,42.93333333333333,70,65
brownsville,tx,87.8,48,texas,63223,50329,Cameron,215269,548.4,America/Chicago,78521 78520 78526 78575 78578 78566 78522,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,50,50
buffalo,ny,97.3,36,new york,59820,50685,Erie,944589,2645.7,America/New_York,14208 14209 14202 14203 14201 14206 14207 14204 14220 14222 14211 14210 14213 14212 14215 14214 14216 14205 14233 14240 14263 14264 14267 14269 14270 14272 14273 14276 14280,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,55,65
burlington,nc,91.8,37,north carolina,54337,300000,Alamance,147415,726.6,America/New_York,27217 27215,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,60,60
burlington,vt,112.8,50,vermont,36283,27493,Chittenden,123307,1673.1,America/New_York,05405 05401 05408 05406,21.630000000000003,18.87,23.77,34.06,47.38,58.07000000000001,64.72,66.82000000000001,62.36666666666666,53.5,40.96666666666667,29.6,90,80
