states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,total_crime,tot_violent_crime,tot_prop_crim,arson
Pennsylvania,Lancaster,"60,155",773.0,11.6,61.5,345.8,354.1,"4,820.9",729.8,"3,908.2",182.9,,,,
Florida,Largo,"78,783",500.1,1.3,54.6,144.7,299.6,"3,956.4",728.6,"3,062.8",165.0,,,,
New Mexico,Las Cruces,"99,824",394.7,5.0,56.1,70.1,263.5,"4,426.8",992.7,"3,219.7",214.4,,,,
Florida,Lauderhill,"69,046",850.2,11.6,27.5,350.5,460.6,"4,249.3","1,793.0","2,188.4",267.9,,,,
Kansas,Lawrence,"89,180",414.9,-,58.3,59.4,297.2,"4,481.9",677.3,"3,577.0",227.6,,,,
Massachusetts,Lawrence,"77,661","1,010.8",2.6,32.2,287.1,688.9,"2,530.2",690.2,956.7,883.3,,,,
Oklahoma,Lawton,"98,781",931.4,13.2,38.5,175.1,704.6,"5,272.3","1,579.3","3,390.3",302.7,,,,
Utah,Layton,"69,420",121.0,-,47.5,10.1,63.4,"2,748.5",469.6,"2,179.5",99.4,,,,
Texas,League City,"86,127",91.7,-,18.6,32.5,40.6,"2,013.3",347.2,"1,586.0",80.1,,,,
Missouri,Lee's Summit,"91,840",118.7,-,14.2,26.1,78.4,"2,316.0",286.4,"1,912.0",117.6,,,,
California,Livermore,"82,800",363.5,-,18.1,38.6,306.8,"2,180.0",374.4,"1,593.0",212.6,,,,
Michigan,Livonia,"96,028",152.0,3.1,19.8,33.3,95.8,"2,211.9",336.4,"1,667.2",208.3,,,,
California,Lodi,"63,718",439.4,3.1,18.8,135.0,282.5,"4,078.9","1,183.3","2,366.7",528.9,,,,
Colorado,Longmont,"88,925",211.4,-,12.4,33.7,165.3,"2,439.1",403.7,"1,917.3",118.1,,,,
Texas,Longview,"82,554",560.8,8.5,33.9,158.7,359.8,"5,102.1","1,150.8","3,568.6",382.8,,,,
Ohio,Lorain,"64,148",506.6,6.2,53.0,212.0,235.4,"5,039.9","1,942.4","2,913.6",183.9,,,,
Colorado,Loveland,"69,147",209.7,-,31.8,31.8,146.1,"2,600.3",328.3,"2,205.4",66.5,,,,
Virginia,Lynchburg,"77,347",345.2,3.9,44.0,59.5,237.9,"2,706.0",471.9,"2,144.9",89.2,,,,
Massachusetts,Lynn,"91,846",820.9,2.2,52.3,185.1,581.4,"2,818.8",760.0,"1,757.3",301.6,,,,
California,Lynwood,"70,908",763.0,12.7,33.8,297.6,418.9,"1,936.3",493.6,709.4,733.3,,,,
Georgia,Macon,"92,836",628.0,22.6,44.2,260.7,300.5,"7,216.0","1,969.1","4,708.3",538.6,,,,
California,Madera,"62,796",742.1,3.2,30.3,181.5,527.1,"2,581.4","1,039.9",990.5,551.0,,,,
Massachusetts,Malden,"60,605",462.0,1.7,31.4,123.8,305.3,"1,985.0",463.7,"1,310.1",211.2,,,,
California,Manteca,"68,887",384.7,-,16.0,120.5,248.2,"3,891.9",659.1,"2,676.8",556.0,,,,
Minnesota,Maple Grove,"62,840",,-,,17.5,20.7,"2,036.9",251.4,"1,745.7",39.8,,,,
Washington,Marysville,"61,381",189.0,3.3,26.1,58.7,101.0,"2,882.0",648.4,"1,906.1",327.5,,,,
Oregon,Medford,"76,037",558.9,2.6,51.3,84.2,420.8,"5,810.3",627.3,"4,950.2",232.8,,,,
Florida,Melbourne,"77,133",853.1,7.8,62.2,172.4,610.6,"4,374.3",840.1,"3,379.9",154.3,,,,
California,Menifee,"80,047",108.7,1.2,5.0,30.0,72.5,"2,426.1",633.4,"1,385.4",407.3,,,,
California,Merced,"80,976","1,000.3",11.1,30.9,265.5,692.8,"5,076.8","1,179.4","3,360.3",537.2,,,,
Connecticut,Meriden,"60,934",364.3,8.2,41.0,124.7,190.4,"2,973.7",690.9,"2,007.1",275.7,,,,
Idaho,Meridian,"77,270",119.1,-,16.8,11.6,90.6,"1,591.8",284.7,"1,281.2",25.9,,,,
Florida,Miami Beach,"91,066","1,033.3",5.5,46.1,446.9,534.8,"9,913.7","1,150.8","8,275.3",487.6,,,,
New Jersey,Middletown Township,"66,919",67.2,1.5,9.0,12.0,44.8,"1,092.4",240.6,829.4,22.4,,,,
California,Milpitas,"68,433",118.4,1.5,16.1,49.7,51.1,"2,956.2",485.1,"1,972.7",498.3,,,,
California,Mission Viejo,"95,599",76.4,-,3.1,29.3,43.9,"1,252.1",225.9,979.1,47.1,,,,
Texas,Mission,"80,557",129.1,3.7,7.4,57.1,60.8,"2,942.0",525.1,"2,219.5",197.4,,,,
Montana,Missoula,"67,758",326.2,-,36.9,48.7,240.6,"4,488.0",557.9,"3,775.2",155.0,,,,
Texas,Missouri City,"70,819",121.4,-,11.3,48.0,62.1,"1,241.2",309.2,865.6,66.4,,,,
California,Montebello,"63,538",229.8,4.7,6.3,105.4,113.3,"2,793.6","1,130.0",978.9,684.6,,,,
California,Monterey Park,"61,270",122.4,6.5,1.6,68.5,45.7,"1,668.0",406.4,899.3,362.3,,,,
South Carolina,Mount Pleasant,"70,016",218.5,-,7.1,8.6,202.8,"1,756.7",245.7,"1,428.2",82.8,,,,
New York,Mount Vernon,"68,146",899.5,14.7,20.5,330.2,534.1,"1,973.7",475.4,"1,300.1",198.1,,,,
California,Mountain View,"75,933",204.1,-,6.6,44.8,152.8,"1,868.8",234.4,"1,484.2",150.1,,,,
Indiana,Muncie,"70,300",367.0,1.4,12.8,140.8,211.9,"4,173.5",981.5,"2,903.3",288.8,,,,
Idaho,Nampa,"83,316",243.7,2.4,52.8,24.0,164.4,"2,616.5",612.1,"1,908.4",96.0,,,,
California,Napa,"78,589",274.8,2.5,21.6,49.6,201.0,"2,090.6",444.1,"1,365.3",281.2,,,,
New Hampshire,Nashua,"86,870",234.8,-,42.6,55.3,137.0,"2,717.9",431.7,"2,189.5",96.7,,,,
Massachusetts,New Bedford,"96,031","1,072.6",2.1,56.2,283.2,731.0,"3,311.4",967.4,"2,030.6",313.4,,,,
Texas,New Braunfels,"60,482",190.1,1.7,31.4,44.6,112.4,"3,488.6",496.0,"2,840.5",152.1,,,,
Connecticut,New Britain,"73,458",431.5,4.1,6.8,243.7,177.0,"3,971.0","1,055.0","2,381.0",535.0,,,,
New York,New Rochelle,"78,025",232.0,-,3.8,116.6,111.5,"1,789.2",230.7,"1,475.2",83.3,,,,
