states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,safety_index
California,Santa Monica,"91,215",433.0,2.2,25.2,165.5,240.1,827.7,642.4,813.4,195.1,388.45
Illinois,Schaumburg,"74,585",91.2,3.1,17.4,24.1,49.6,827.7,266.8,813.4,83.1,245.59
New York,Schenectady,"66,631",939.5,10.5,48.0,298.7,582.3,827.7,494.4500000000001,813.4,213.1,420.5375
Pennsylvania,Scranton,"76,118",331.1,3.1,30.2,169.5,131.4,827.7,842.1,813.4,152.4,420.97
Kansas,Shawnee,"63,542",133.8,3.1,17.3,18.9,97.6,827.7,239.2,813.4,218.8,252.14499999999998
Michigan,Shelby Township,"73,960",116.3,3.1,27.0,12.2,77.1,827.7,220.4,813.4,59.5,236.705
Iowa,Sioux City,"83,289",329.0,2.4,36.0,55.2,235.3,827.7,745.6,813.4,244.9,406.1
Illinois,Skokie,"65,096",205.8,3.1,26.1,56.8,122.9,827.7,436.3,813.4,93.7,303.63
Massachusetts,Somerville,"77,200",348.4,3.1,29.8,106.2,212.4,827.7,450.8,813.4,165.8,329.595
California,South Gate,"95,966",576.2,9.4,15.6,276.1,275.1,827.7,427.2,813.4,956.6,389.155
California,South San Francisco,"65,006",170.8,3.1,18.5,44.6,107.7,827.7,540.0,813.4,289.2,335.07
Michigan,Southfield,"72,253",487.2,2.8,47.1,188.2,249.1,827.7,865.0,813.4,545.3,467.51
Nevada,Sparks,"92,387",253.3,1.1,34.6,73.6,144.0,827.7,659.2,813.4,259.8,373.055
Washington,Spokane Valley,"91,164",215.0,1.1,34.0,73.5,106.4,827.7,975.2,813.4,473.9,457.05
Arkansas,Springdale,"71,668",463.2,1.4,79.5,41.9,340.5,827.7,637.7,813.4,203.7,395.71500000000003
Ohio,Springfield,"60,329",618.3,8.3,63.0,295.0,252.0,827.7,494.4500000000001,813.4,283.4,375.30750000000006
Oregon,Springfield,"60,119",173.0,3.1,28.3,49.9,94.8,827.7,687.0,813.4,377.6,375.815
Missouri,St. Charles,"66,723",151.4,1.5,10.5,34.5,104.9,827.7,332.7,813.4,95.9,271.11
Utah,St. George,"75,780",204.5,3.1,35.6,30.4,138.6,827.7,405.1,813.4,114.8,297.55
Missouri,St. Joseph,"77,330",417.7,1.3,28.4,117.7,270.3,827.7,494.4500000000001,813.4,479.8,365.63250000000005
Texas,Sugar Land,"82,924",131.4,3.1,4.8,44.6,82.0,827.7,348.5,813.4,42.2,269.62
Florida,Sunrise,"87,168",263.9,1.1,21.8,107.8,133.1,827.7,916.6,813.4,164.1,433.125
Florida,Tamarac,"62,382",306.2,8.0,20.8,118.6,158.7,827.7,979.4,813.4,157.1,454.33
Michigan,Taylor,"62,534",484.5,1.6,49.6,95.9,337.4,827.7,900.3,813.4,406.2,473.465
Texas,Temple,"68,194",296.2,1.5,32.3,108.5,154.0,827.7,494.4500000000001,813.4,130.5,330.2225
Indiana,Terre Haute,"61,152",312.3,6.5,47.4,139.0,119.4,827.7,494.4500000000001,813.4,462.8,346.95750000000004
New Jersey,Toms River Township,"92,131",87.9,1.1,3.3,43.4,40.2,827.7,694.7,813.4,41.2,349.28000000000003
California,Tracy,"85,047",170.5,4.7,9.4,77.6,78.8,827.7,333.9,813.4,337.5,284.255
New Jersey,Trenton,"85,317",303.0,28.1,27.0,676.3,734.9,827.7,494.4500000000001,813.4,549.7,498.55750000000006
Michigan,Troy,"81,567",73.6,2.5,11.0,15.9,44.1,827.7,221.9,813.4,131.2,234.395
California,Tulare,"60,848",617.9,9.9,16.4,116.7,475.0,827.7,494.4500000000001,813.4,545.6,399.61750000000006
California,Turlock,"69,730",638.2,2.9,28.7,139.1,467.5,827.7,894.9,813.4,730.0,510.245
Alabama,Tuscaloosa,"91,973",519.7,4.3,40.2,184.8,290.3,827.7,494.4500000000001,813.4,219.6,363.96250000000003
California,Tustin,"77,400",147.3,3.1,14.2,46.5,86.6,827.7,310.1,813.4,169.3,268.195
California,Union City,"71,089",330.6,3.1,12.7,144.9,173.0,827.7,604.9,813.4,431.9,377.67499999999995
New Jersey,Union City,"67,518",370.3,1.5,3.0,157.0,208.8,827.7,356.9,813.4,197.0,309.3
California,Upland,"75,531",195.9,3.1,10.6,88.7,96.6,827.7,838.1,813.4,484.6,421.32000000000005
Pennsylvania,Upper Darby Township,"82,978",623.1,3.6,19.3,325.4,274.8,827.7,268.7,813.4,136.2,312.895
New York,Utica,"62,445",658.2,1.6,36.8,201.8,418.0,827.7,946.4,813.4,158.5,494.005
California,Vacaville,"93,951",261.8,3.2,25.5,77.7,155.4,827.7,339.5,813.4,183.1,290.82
Texas,Victoria,"64,076",632.1,7.8,48.4,73.4,502.5,827.7,927.0,813.4,160.7,491.19000000000005
New Jersey,Vineland,"61,252",367.3,1.6,11.4,107.8,246.5,827.7,494.4500000000001,813.4,70.2,338.9375
California,Vista,"96,087",483.9,1.0,26.0,149.9,307.0,827.7,455.8,813.4,342.4,357.54
California,Walnut Creek,"65,816",127.6,3.1,4.6,28.9,94.2,827.7,677.6,813.4,214.2,360.73499999999996
Massachusetts,Waltham,"61,725",236.5,3.1,19.4,38.9,178.2,827.7,309.4,988.3,77.8,311.92499999999995
Georgia,Warner Robins,"69,231",528.7,8.7,30.3,203.7,286.0,827.7,494.4500000000001,813.4,213.8,364.58750000000003
Rhode Island,Warwick,"82,282",124.0,1.2,18.2,35.2,69.3,827.7,405.9,813.4,115.5,285.84499999999997
Michigan,Waterford Township,"72,224",195.2,3.1,26.3,44.3,124.6,827.7,412.6,813.4,131.5,298.62
Iowa,Waterloo,"68,919",682.0,5.8,92.9,100.1,483.2,827.7,494.4500000000001,813.4,139.3,385.90749999999997
Illinois,Waukegan,"89,468",469.4,2.2,52.5,178.8,235.8,827.7,698.6,813.4,71.5,399.735
Wisconsin,Waukesha,"71,049",150.6,1.4,36.6,33.8,78.8,827.7,327.9,813.4,45.0,265.975
Wisconsin,West Allis,"60,870",313.8,3.1,18.1,159.4,136.4,827.7,906.9,813.4,216.9,438.925
Michigan,West Bloomfield Township,"65,157",55.3,3.1,3.1,13.8,35.3,827.7,227.1,813.4,18.4,227.825
Connecticut,West Hartford,"63,487",72.5,3.1,3.2,55.1,14.2,827.7,382.8,813.4,163.8,274.995
Michigan,Westland,"83,299",405.8,1.2,73.2,96.0,235.3,827.7,690.3,813.4,396.2,407.46
California,Westminster,"91,908",309.0,2.2,9.8,95.7,201.3,827.7,507.0,813.4,351.4,348.075
Florida,Weston,"67,452",91.9,3.0,7.4,20.8,60.8,980.0,219.4,730.9,29.7,214.90500000000003
California,Whittier,"86,740",284.8,3.1,11.5,93.4,179.8,827.7,517.6,813.4,340.1,347.01
Delaware,Wilmington,"72,088",303.0,36.1,47.2,657.5,962.7,827.7,494.4500000000001,813.4,506.3,531.8975
Minnesota,Woodbury,"63,190",303.0,3.1,23.55,11.1,17.4,827.7,305.4,813.4,76.0,249.37
Washington,Yakima,"93,419",605.9,11.8,55.7,162.7,375.7,827.7,494.4500000000001,813.4,181.35,375.32500000000005
California,Yorba Linda,"65,820",80.5,3.1,4.6,16.7,59.3,827.7,338.8,808.3,48.6,260.28000000000003
Pennsylvania,York Area Regional,"60,732",120.2,1.6,23.1,26.3,69.2,827.7,260.2,759.1,32.9,234.07500000000002
Ohio,Youngstown,"66,567",303.0,33.0,58.6,366.5,569.4,827.7,494.4500000000001,813.4,414.6,439.89250000000004
California,Yuba City,"65,653",376.2,6.1,33.5,65.5,271.1,827.7,763.1,813.4,280.3,418.95
Arizona,Yuma,"95,568",531.6,5.2,28.3,63.8,434.2,827.7,999.3,813.4,246.9,499.97
