states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,safety_index
Pennsylvania,"Abington Township, Montgomery County","55,731",197.4,1.8,14.4,70.0,111.2,1979.1,296.1,1650.8,32.3,431.19000000000005
Oregon,Albany,"51,084",86.1,0.0,19.6,45.0,21.5,3092.9,438.5,2470.4,184.0,622.5900000000001
Louisiana,Alexandria,"48,449",1682.2,18.6,28.9,293.1,1341.6,7492.4,2010.4,5102.3,379.8,1778.28
California,Aliso Viejo,"48,999",87.8,0.0,0.0,12.2,75.5,847.0,208.2,612.3,26.5,188.38
Florida,Altamonte Springs,"42,296",335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5,653.135
Pennsylvania,Altoona,"46,404",351.3,4.3,66.8,69.0,211.2,1946.0,487.0,1381.3,77.6,447.79499999999996
Iowa,Ames,"59,271",131.6,0.0,54.0,11.8,65.8,2453.1,491.0,1909.9,52.3,523.7950000000001
Indiana,Anderson,"56,132",481.0,1.8,96.2,133.6,249.4,5095.1,1142.0,3584.4,368.8,1081.48
Iowa,Ankeny,"46,482",73.1,0.0,17.2,15.1,40.9,1385.5,305.5,1039.1,40.9,295.605
Florida,Apopka,"43,046",339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4,665.45
Minnesota,Apple Valley,"49,827",223.05,4.0,19.05,32.1,36.1,2239.7,218.8,1968.8,52.2,462.2
California,Arcadia,"57,295",99.5,0.0,1.7,38.4,59.3,2422.5,591.7,1701.7,129.2,507.63000000000005
Massachusetts,Arlington,"43,675",116.8,0.0,6.9,20.6,89.3,1179.2,229.0,925.0,25.2,259.655
Massachusetts,Attleboro,"44,033",322.5,0.0,43.1,52.2,227.1,2411.8,556.4,1710.1,145.3,531.9799999999999
Alabama,Auburn,"54,785",240.9,5.5,23.7,45.6,166.1,3502.8,763.0,2646.7,93.1,757.415
California,Azusa,"47,111",467.0,2.1,12.7,87.0,365.1,2555.7,649.5,1564.4,341.7,557.3900000000001
Massachusetts,Barnstable,"45,570",621.0,2.2,48.3,63.6,506.9,2784.7,829.5,1858.7,96.6,671.5000000000001
Illinois,Bartlett,"41,477",74.7,0.0,9.6,21.7,43.4,764.3,69.9,670.3,24.1,162.38000000000002
Tennessee,Bartlett,"55,510",237.8,0.0,12.6,34.2,191.0,1401.5,225.2,1124.1,52.2,317.06
Ohio,Beavercreek,"45,563",54.9,0.0,13.2,28.5,13.2,2355.0,250.2,2074.1,30.7,485.055
Texas,Bedford,"48,763",293.3,2.1,20.5,59.5,211.2,2729.5,578.3,1993.3,157.9,591.125
California,Bell Gardens,"42,769",292.3,7.0,4.7,156.7,123.9,1702.2,259.5,720.1,722.5,280.795
Nebraska,Bellevue,"51,678",106.4,1.9,38.7,25.2,40.6,2209.8,299.9,1722.2,187.7,441.56500000000005
Illinois,Berwyn,"56,933",198.5,1.8,35.1,77.3,84.3,2513.5,764.1,1566.8,182.7,537.675
Massachusetts,Beverly,"40,150",206.7,0.0,19.9,32.4,154.4,1569.1,288.9,1252.8,27.4,352.545
Massachusetts,Billerica,"41,016",136.5,2.4,24.4,17.1,92.6,1141.0,217.0,868.0,56.1,249.05500000000004
Mississippi,Biloxi,"45,037",417.4,2.2,66.6,188.7,159.9,5033.6,1625.3,3153.0,255.3,1099.535
New York,Binghamton,"47,250",666.7,6.3,31.7,171.4,457.1,4943.9,1181.0,3665.6,97.4,1123.06
Virginia,Blacksburg,"43,070",90.6,0.0,27.9,25.5,37.1,1102.9,185.7,875.3,41.8,234.48
Minnesota,Blaine,"57,953",223.05,0.0,19.05,19.0,50.0,3316.5,345.1,2874.7,96.6,677.35
