states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Colorado,Fort Collins,"148,792",262.8,1.3,29.6,26.9,205.0,,401.9,921.8,95.4
Florida,Fort Lauderdale,"170,827",903.3,9.4,28.1,488.8,377.0,,548.45,921.8,345.4
California,Fremont,"218,927",139.8,0.9,6.4,60.3,72.2,,537.2,921.8,265.4
Texas,Frisco,"123,205",79.5,4.05,6.5,19.5,53.6,,357.1,921.8,43.8
California,Fullerton,"138,455",326.5,4.05,22.4,98.9,205.1,,535.9,921.8,233.3
Florida,Gainesville,"127,036",669.9,4.7,58.3,134.6,472.3,,794.3,921.8,188.1
California,Garden Grove,"175,079",250.7,0.6,9.1,77.1,163.9,,434.7,921.8,343.3
Texas,Garland,"234,984",229.8,3.0,20.0,100.4,106.4,,943.9,921.8,251.5
Arizona,Gilbert,"214,264",95.7,2.3,8.9,27.5,56.9,,338.8,921.8,76.5
Arizona,Glendale,"232,997",491.4,5.2,23.2,177.3,285.8,,548.45,921.8,525.3
California,Glendale,"194,902",119.5,4.05,3.1,55.4,61.1,,264.7,921.8,158.5
Texas,Grand Prairie,"181,782",274.5,0.6,27.5,88.0,158.4,,714.0,921.8,347.7
Michigan,Grand Rapids,"189,953",771.2,8.4,24.2,243.2,495.4,,548.45,921.8,141.1
Wisconsin,Green Bay,"106,080",484.5,0.9,41.5,82.0,360.1,,621.2,921.8,102.8
Oregon,Gresham,"108,202",450.1,3.7,30.5,191.3,224.6,,818.8,921.8,685.8
Virginia,Hampton,"137,905",227.7,6.5,11.6,105.9,103.7,,549.7,921.8,190.0
Connecticut,Hartford,"125,203",393.7,18.4,21.6,511.2,770.7,,838.6,921.8,640.6
California,Hayward,"147,424",415.8,4.1,31.2,232.0,148.6,,752.3,921.8,987.6
Florida,Hialeah,"233,107",347.5,1.7,17.2,111.5,217.1,,449.6,921.8,316.2
North Carolina,High Point,"106,801",520.6,4.7,17.8,173.2,324.9,,548.45,921.8,267.8
Florida,Hollywood,"145,313",442.5,3.4,26.2,191.3,221.6,,548.45,921.8,454.2
California,Huntington Beach,"194,677",160.8,1.5,15.9,42.6,100.7,,409.4,921.8,164.9
Alabama,Huntsville,"183,691",923.3,7.6,39.2,248.2,628.2,,548.45,921.8,386.5
Missouri,Independence,"117,433",457.3,4.3,36.6,108.1,308.3,,548.45,921.8,666.8
California,Inglewood,"111,488",699.6,12.6,24.2,334.6,328.3,,579.4,921.8,572.3
California,Irvine,"217,528",50.6,0.9,3.7,13.3,32.6,,262.0,921.8,62.1
Texas,Irving,"224,007",226.3,1.3,12.1,60.3,152.7,,570.1,921.8,251.8
Mississippi,Jackson,"175,939",948.1,35.8,76.7,454.1,381.4,,548.45,921.8,645.7
Illinois,Joliet,"148,471",340.8,7.4,20.2,70.0,243.1,,642.5,921.8,106.4
Kansas,Kansas City,"147,201",595.8,10.2,57.7,188.2,339.7,,548.45,921.8,820.6
Washington,Kent,"122,102",444.7,1.6,55.7,158.9,228.5,,548.45,921.8,707.6
Texas,Killeen,"131,965",644.9,9.1,62.1,178.8,394.8,,548.45,921.8,145.5
Tennessee,Knoxville,"182,254",973.4,9.9,65.3,289.7,608.5,,548.45,921.8,501.5
Louisiana,Lafayette,"122,852",634.1,9.0,9.0,164.4,451.8,,548.45,921.8,196.2
Colorado,Lakewood,"146,404",461.7,1.4,64.2,101.1,295.1,,626.3,921.8,415.3
California,Lancaster,"159,155",539.7,5.0,33.9,196.7,304.1,,655.3,921.8,253.8
Michigan,Lansing,"114,688",939.9,11.3,80.2,177.0,671.4,,548.45,921.8,230.2
Texas,Laredo,"245,558",421.9,3.3,33.0,74.5,311.1,,699.6,921.8,155.2
Arkansas,Little Rock,"196,055",393.7,23.0,69.9,411.6,811.0,,548.45,921.8,558.5
Massachusetts,Lowell,"108,539",539.0,4.05,34.1,160.3,344.6,,782.2,921.8,271.8
Texas,Lubbock,"237,241",827.0,4.6,43.8,137.0,641.5,,548.45,921.8,314.0
Wisconsin,Madison,"237,508",377.7,1.3,48.0,101.5,226.9,,674.1,921.8,106.9
New Hampshire,Manchester,"110,040",567.1,0.9,65.4,186.3,314.4,,771.5,921.8,137.2
Texas,McAllen,"135,745",122.3,0.7,2.2,41.3,78.1,,370.5,921.8,155.4
Texas,McKinney,"138,105",165.8,4.05,39.1,42.0,84.7,,356.3,921.8,75.3
Texas,Mesquite,"144,811",305.2,1.4,9.7,126.4,167.8,,548.45,921.8,474.4
Florida,Miami Gardens,"111,177",837.4,22.5,14.4,331.9,468.6,,548.45,921.8,371.5
Texas,Midland,"115,637",344.2,3.5,18.2,45.0,277.6,,483.4,921.8,117.6
Florida,Miramar,"125,998",426.2,1.6,24.6,129.4,270.6,,684.1,921.8,175.4
California,Modesto,"204,631",777.0,9.8,28.8,219.9,518.5,,548.45,921.8,879.1
Alabama,Montgomery,"209,018",395.7,21.1,19.6,219.6,135.4,,548.45,921.8,526.7
California,Moreno Valley,"199,673",353.6,2.5,12.5,165.8,172.8,,548.45,921.8,449.2
Tennessee,Murfreesboro,"112,247",624.5,2.7,49.0,119.4,453.5,,822.3,921.8,163.9
California,Murrieta,"106,839",65.5,0.9,7.5,19.7,37.4,,381.9,921.8,121.7
Illinois,Naperville,"142,840",83.3,2.1,4.9,16.8,59.5,,178.5,921.8,28.7
Connecticut,New Haven,"129,934",393.7,13.1,42.3,649.6,734.2,,548.45,921.8,549.5
Virginia,Newport News,"181,591",415.2,11.0,27.5,149.2,227.4,,566.7,921.8,144.3
Virginia,Norfolk,"245,303",543.0,13.9,30.6,200.2,298.4,,921.7,921.8,296.4
Oklahoma,Norman,"113,969",151.8,0.9,45.6,47.4,57.9,,551.9,921.8,148.3
South Carolina,North Charleston,"100,675",732.1,12.9,60.6,210.6,448.0,,848.3,921.8,536.4
Nevada,North Las Vegas,"221,884",763.9,6.3,32.9,175.3,549.4,,701.7,921.8,430.4
California,Norwalk,"107,295",403.6,10.3,12.1,159.4,221.8,,502.4,921.8,496.8
California,Oceanside,"171,141",425.4,4.7,28.0,102.3,290.4,,491.4,921.8,260.0
Texas,Odessa,"103,635",393.7,4.8,41.5,136.1,881.9,,743.0,921.8,368.6
Kansas,Olathe,"128,560",148.6,4.05,29.6,18.7,100.3,,245.0,921.8,137.7
California,Ontario,"167,933",318.0,1.8,21.4,158.4,136.4,,630.0,921.8,583.0
California,Orange,"139,692",96.6,2.9,5.7,38.7,49.4,,357.9,921.8,206.9
Florida,Orlando,"246,513",393.7,9.7,41.8,244.6,721.3,,548.45,921.8,529.0
Kansas,Overland Park,"177,085",160.9,1.1,22.6,23.7,113.5,,292.0,921.8,183.0
California,Oxnard,"201,797",298.8,4.5,4.0,150.6,139.7,,420.2,921.8,270.6
Florida,Palm Bay,"104,635",528.5,2.9,18.2,74.5,432.9,,687.2,921.8,130.9
California,Palmdale,"155,294",522.9,3.9,23.8,144.2,350.9,,666.5,921.8,186.7
California,Pasadena,"139,382",310.7,3.6,15.1,123.4,168.6,,639.3,921.8,179.4
Texas,Pasadena,"154,562",402.4,5.2,33.6,95.1,268.5,,646.3,921.8,339.0
New Jersey,Paterson,"147,148",393.7,14.3,15.0,580.4,445.1,,548.45,921.8,616.4
Florida,Pembroke Pines,"159,744",149.0,1.3,8.8,52.0,87.0,,529.6,921.8,135.8
Arizona,Peoria,"158,347",186.9,5.7,15.2,48.6,117.5,,586.7,921.8,168.0
Illinois,Peoria,"115,288",797.1,8.7,21.7,281.0,485.7,,548.45,921.8,201.2
California,Pomona,"151,511",673.9,11.2,41.6,248.8,372.3,,594.7,921.8,732.6
Florida,Pompano Beach,"103,003",393.7,4.9,35.9,406.8,581.5,,548.45,921.8,391.3
Florida,Port St. Lucie,"168,416",234.5,2.4,27.9,32.7,171.6,,484.5,921.8,54.0
Rhode Island,Providence,"177,882",636.9,9.6,47.2,203.5,376.7,,548.45,921.8,654.4
Utah,Provo,"116,879",127.5,4.05,30.8,16.3,80.4,,257.5,921.8,96.7
Colorado,Pueblo,"109,065",730.8,7.3,19.3,182.5,521.7,,548.45,921.8,452.0
California,Rancho Cucamonga,"169,276",189.6,2.4,9.5,66.2,111.7,,862.5,921.8,280.6
Nevada,Reno,"230,486",517.2,3.0,14.3,141.9,357.9,,708.5,921.8,382.2
California,Rialto,"101,595",501.0,3.9,16.7,197.8,282.5,,883.9,921.8,861.3
Texas,Richardson,"103,266",165.6,1.9,26.1,77.5,60.0,,675.9,921.8,126.9
California,Richmond,"106,357",393.7,16.9,33.8,367.6,674.1,,548.45,921.8,259.95
Virginia,Richmond,"207,799",648.7,20.2,18.3,304.6,305.6,,976.9,921.8,450.0
Minnesota,Rochester,"108,582",393.7,1.8,27.6,50.7,95.8,,455.9,921.8,82.0
New York,Rochester,"211,993",976.0,17.0,52.8,385.4,520.8,,548.45,921.8,293.4
