City,State,Cost of Living Index,State_Code,State_Name,County,Place,Zip_Code,Mean,Median,city,city_ascii,state_id,state_name,county_name,population,density,timezone,zips,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december
durham,nc,99.8,37.0,north carolina,Alamance County,Alamance,27701.0,40798.0,25893.0,durham,Durham,nc,North Carolina,Durham,399616.0,950.8,America/New_York,27703 27705 27704 27707 27701 27708 27712 27713 27706 27710 27715 27717 27722,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
east stroudsburg,pa,96.1,42.0,pennsylvania,Adams County,Abbottstown,18301.0,74318.0,55746.0,east stroudsburg,East Stroudsburg,pa,Pennsylvania,Monroe,9345.0,1268.6,America/New_York,18301,505.0,499.0,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
eau claire,wi,91.8,55.0,wisconsin,Adams County,Adams city,54703.0,56369.0,48096.0,eau claire,Eau Claire,wi,Wisconsin,Eau Claire,109491.0,804.6,America/Chicago,54703 54701 54702,606.0,591.0,3.77,3.64,19.03,15.46,22.79,35.55,48.42,60.65,67.54,68.34,64.22222222222223,54.18888888888889,40.06666666666667,27.73333333333333
el centro,ca,102.3,6.0,california,Alameda County,Alameda city,92243.0,48768.0,36209.0,el centro,El Centro,ca,California,Imperial,44184.0,1412.5,America/Los_Angeles,92243 92244,507.0,496.0,3.42,3.1,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.3111111111111,56.93333333333333,48.47777777777778
el paso,tx,88.6,48.0,texas,Anderson County,Elkhart,79924.0,45265.0,25472.0,el paso,El Paso,tx,Texas,El Paso,865270.0,1011.4,America/Denver,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79915 79912 79911 79835 79922 79920 79927 79924 79925 79910 79913 79914 79917 79923 79926 79931 79937 79940 79941 79942 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88588 88590 88595,487.0,470.0,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
elizabeth city,nc,91.1,37.0,north carolina,Camden County,Elizabeth City city,27909.0,53950.0,300000.0,elizabeth city,Elizabeth City,nc,North Carolina,Pasquotank,18570.0,612.5,America/New_York,27909 27906 27907,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
elizabethtown,ky,88.1,21.0,kentucky,Adair County,Columbia city,42701.0,64697.0,300000.0,elizabethtown,Elizabethtown,ky,Kentucky,Hardin,77770.0,439.5,America/New_York,42701 42702,588.0,588.0,3.77,3.67,37.49,35.96,42.12,51.12,60.870000000000005,69.7,74.99,75.77000000000001,72.69999999999999,64.83333333333333,52.27777777777778,42.93333333333333
elkhart,in,88.5,18.0,indiana,Adams County,Berne city,46514.0,37069.0,40505.0,elkhart,Elkhart,in,Indiana,Elkhart,149423.0,752.7,America/Indiana/Indianapolis,46514 46517 46516 46515,501.0,496.0,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224
elmira,ny,92.5,36.0,new york,Albany County,Albany city,14905.0,63865.0,48846.0,elmira,Elmira,ny,New York,Chemung,26494.0,1410.5,America/New_York,14901 14905 14904 14902,502.0,489.0,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
enid,ok,82.9,40.0,oklahoma,Adair County,Bell,73701.0,48178.0,35559.0,enid,Enid,ok,Oklahoma,Garfield,50961.0,266.1,America/Chicago,73701 73703 73705 73702 73706,570.0,576.0,3.74,3.6,40.260000000000005,39.62,46.07,55.24,63.52,73.13,79.96000000000001,81.06,77.55555555555556,68.47777777777777,55.75555555555556,45.67777777777778
erie,pa,91.8,42.0,pennsylvania,Erie County,Erie city,16501.0,43809.0,33692.0,erie,Erie,pa,Pennsylvania,Erie,185556.0,1913.7,America/New_York,16546 16510 16508 16507 16502 16504 16503 16550 16501 16511 16512 16514 16522 16530 16534 16538 16541 16544 16553,505.0,499.0,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
eugene,or,108.4,41.0,oregon,Baker County,Baker City city,97405.0,44743.0,24736.0,eugene,Eugene,or,Oregon,Lane,270990.0,1543.4,America/Los_Angeles,97405 97404 97401 97403 97402 97440,523.0,524.0,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778
eureka,ca,116.5,6.0,california,Humboldt County,Bayview,95503.0,41404.0,31689.0,eureka,Eureka,ca,California,Humboldt,26519.0,1070.3,America/Los_Angeles,95503 95501 95521 95502 95534,507.0,496.0,3.42,3.1,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.3111111111111,56.93333333333333,48.47777777777778
evansville,in,87.2,18.0,indiana,Adams County,Berne city,47715.0,60239.0,47063.0,evansville,Evansville,in,Indiana,Vanderburgh,203661.0,953.2,America/Chicago,47714 47715 47710 47711 47713 47708 47701 47702 47703 47704 47705 47706 47716 47719 47722 47724 47728 47730 47731 47732 47733 47734 47735 47736 47737 47740 47747 47750,501.0,496.0,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224
fairbanks,ak,107.9,2.0,alaska,Fairbanks North Star Borough,Goldstream,99709.0,97802.0,300000.0,fairbanks,Fairbanks,ak,Alaska,Fairbanks North Star,70817.0,395.2,America/Anchorage,99701 99703 99712,505.0,509.0,3.49,3.14,16.5,19.0,24.0,34.5,45.0,55.0,60.0,59.0,50.0,38.5,25.0,17.0
fargo,nd,91.4,38.0,north dakota,Cass County,Reile's Acres city,58102.0,136797.0,129656.0,fargo,Fargo,nd,North Dakota,Cass,228364.0,968.3,America/Chicago,58102 58104 58103 58105 58106 58107 58108 58109 58121 58122 58124 58125 58126,609.0,598.0,3.88,3.76,14.19,11.92,19.39,32.97,46.21,59.65,67.67999999999999,68.85,63.29999999999999,51.18888888888889,36.01111111111111,22.366666666666667
faribault,mn,102.3,27.0,minnesota,Aitkin County,Aitkin city,55021.0,54058.0,43354.0,faribault,Faribault,mn,Minnesota,Rice,24418.0,608.2,America/Chicago,55021,608.0,595.0,3.74,3.57,13.96,10.71,19.21,33.61,47.15,60.34,67.76,68.33,63.64444444444444,52.78888888888889,37.53333333333333,23.48888888888889
farmington,mo,85.4,29.0,missouri,Adair County,Kirksville city,64630.0,37299.0,33005.0,farmington,Farmington,mo,Missouri,St. Francois,17859.0,726.3,America/Chicago,63640,599.0,596.0,3.7,3.59,34.230000000000004,32.239999999999995,39.18,49.84,59.67999999999999,69.7,75.97,76.3,72.93333333333334,64.07777777777778,50.888888888888886,40.63333333333334
farmington,nm,88.4,35.0,new mexico,Bernalillo County,Albuquerque city,87402.0,112794.0,108560.0,farmington,Farmington,nm,New Mexico,San Juan,46457.0,520.5,America/Denver,87401 87402,545.0,551.0,3.58,3.36,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
fayetteville,nc,89.5,37.0,north carolina,Alamance County,Alamance,28306.0,33422.0,25039.0,fayetteville,Fayetteville,nc,North Carolina,Cumberland,328804.0,543.5,America/New_York,28390 28304 28306 28307 28301 28303 28308 28305 28311 28310 28314 28302 28309,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
fayetteville,ar,90.4,5.0,arkansas,Arkansas County,Stuttgart city,72703.0,47481.0,43226.0,fayetteville,Fayetteville,ar,Arkansas,Washington,394650.0,672.8,America/Chicago,72704 72703 72701 72702,572.0,569.0,3.73,3.64,42.59,41.59,47.56,56.03,64.47,73.14,78.81,79.6,76.76666666666667,68.85555555555555,56.577777777777776,47.56666666666667
findlay,oh,91.1,39.0,ohio,Adams County,Rome,45840.0,68475.0,60943.0,findlay,Findlay,oh,Ohio,Hancock,40408.0,794.4,America/New_York,45840 45839,564.0,557.0,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556
flagstaff,az,108.5,4.0,arizona,Coconino County,Fort Valley,86001.0,122937.0,112343.0,flagstaff,Flagstaff,az,Arizona,Coconino,80167.0,445.7,America/Phoenix,86011 86005 86004 86001 86002,529.0,523.0,3.52,3.29,43.37,45.14,50.07,56.64,63.21,72.46000000000001,80.03999999999999,80.58000000000001,76.88888888888889,68.41111111111111,57.66666666666666,47.97777777777778
flint,mi,85.7,26.0,michigan,Alcona County,Hubbard Lake,48504.0,39229.0,30987.0,flint,Flint,mi,Michigan,Genesee,293893.0,945.2,America/Detroit,48502 48504 48505 48506 48507 48503 48550 48551 48552 48553 48556 48557,610.0,594.0,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777
florence,sc,87.7,45.0,south carolina,Abbeville County,Abbeville city,29501.0,82181.0,300000.0,florence,Florence,sc,South Carolina,Florence,90419.0,659.0,America/New_York,29505 29506 29501 29502 29503 29504,488.0,488.0,3.51,3.32,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.6888888888889,59.833333333333336,51.96666666666667
florence,al,86.8,1.0,alabama,Autauga County,Autaugaville,35630.0,28404.0,25315.0,florence,Florence,al,Alabama,Lauderdale,81268.0,593.8,America/Chicago,35632 35633 35630 35631,541.0,547.0,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666
fond du lac,wi,88.0,55.0,wisconsin,Fond du Lac County,St. Peter,54935.0,82343.0,76442.0,fond du lac,Fond du Lac,wi,Wisconsin,Fond du Lac,44527.0,893.7,America/Chicago,54937 54935 54936,606.0,591.0,3.77,3.64,19.03,15.46,22.79,35.55,48.42,60.65,67.54,68.34,64.22222222222223,54.18888888888889,40.06666666666667,27.73333333333333
forest city,nc,89.4,37.0,north carolina,Alamance County,Alamance,28043.0,28407.0,21682.0,forest city,Forest City,nc,North Carolina,Rutherford,7357.0,331.5,America/New_York,28043,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
fort collins,co,109.2,8.0,colorado,Adams County,Brighton city,80521.0,81259.0,77786.0,fort collins,Fort Collins,co,Colorado,Larimer,335398.0,1142.2,America/Denver,80528 80521 80526 80524 80525 80523 80527 80553,588.0,582.0,3.69,3.49,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1
fort smith,ar,84.2,5.0,arkansas,Arkansas County,Stuttgart city,72904.0,31717.0,25789.0,fort smith,Fort Smith,ar,Arkansas,Sebastian,126452.0,537.3,America/Chicago,72908 72901 72904 72923 72916 72903 72906 72913 72914 72917 72918 72919,572.0,569.0,3.73,3.64,42.59,41.59,47.56,56.03,64.47,73.14,78.81,79.6,76.76666666666667,68.85555555555555,56.577777777777776,47.56666666666667
fort wayne,in,86.8,18.0,indiana,Adams County,Berne city,46808.0,44842.0,42253.0,fort wayne,Fort Wayne,in,Indiana,Allen,337163.0,923.0,America/Indiana/Indianapolis,46835 46818 46814 46815 46816 46825 46845 46803 46802 46807 46806 46805 46804 46809 46808 46801 46850 46851 46852 46853 46854 46855 46856 46857 46858 46859 46860 46861 46862 46863 46864 46865 46866 46867 46868 46869 46885 46895 46897,501.0,496.0,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224
frankfort,ky,88.1,21.0,kentucky,Adair County,Columbia city,40601.0,50643.0,45364.0,frankfort,Frankfort,ky,Kentucky,Franklin,28460.0,744.0,America/New_York,40601 40603 40618 40619 40620 40621 40622,588.0,588.0,3.77,3.67,37.49,35.96,42.12,51.12,60.870000000000005,69.7,74.99,75.77000000000001,72.69999999999999,64.83333333333333,52.27777777777778,42.93333333333333
fresno,ca,105.9,6.0,california,Fresno County,Friant,93730.0,33535.0,18417.0,fresno,Fresno,ca,California,Fresno,725276.0,1805.3,America/Los_Angeles,93740 93741 93730 93650 93702 93703 93701 93706 93704 93705 93722 93728 93720 93721 93726 93727 93711 93710 93707 93708 93709 93714 93715 93716 93717 93718 93724 93729 93744 93745 93750 93755 93760 93761 93764 93765 93771 93772 93774 93775 93776 93777 93778 93779 93790 93791 93792 93793 93794 93844,507.0,496.0,3.42,3.1,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.3111111111111,56.93333333333333,48.47777777777778
gadsden,al,86.0,1.0,alabama,Etowah County,Gadsden city,35901.0,42251.0,28811.0,gadsden,Gadsden,al,Alabama,Etowah,33881.0,349.4,America/Chicago,35901 35903 35904 35902,541.0,547.0,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666
gainesville,fl,97.3,12.0,florida,Alachua County,Gainesville city,32601.0,39023.0,31371.0,gainesville,Gainesville,fl,Florida,Alachua,220929.0,860.2,America/New_York,32608 32609 32607 32610 32612 32653 32603 32601 32605 32604 32611 32614 32627 32635,481.0,486.0,3.45,3.16,61.19,61.08,64.80999999999999,68.97,74.09,78.91,81.87,82.62,81.65555555555555,77.95555555555556,71.0,65.2
gainesville,ga,97.0,13.0,georgia,Banks County,Gillsville city,30507.0,43231.0,300000.0,gainesville,Gainesville,ga,Georgia,Hall,175569.0,493.1,America/New_York,30501 30507 30504,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
gallup,nm,90.0,35.0,new mexico,McKinley County,Gallup city,87301.0,56271.0,46760.0,gallup,Gallup,nm,New Mexico,McKinley,21672.0,414.4,America/Denver,87301,545.0,551.0,3.58,3.36,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
gettysburg,pa,98.2,42.0,pennsylvania,Adams County,Abbottstown,17325.0,85469.0,69863.0,gettysburg,Gettysburg,pa,Pennsylvania,Adams,7709.0,1793.3,America/New_York,17325,505.0,499.0,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
glens falls,ny,98.6,36.0,new york,Albany County,Albany city,12801.0,52094.0,45357.0,glens falls,Glens Falls,ny,New York,Warren,73424.0,1478.2,America/New_York,12801,502.0,489.0,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
goldsboro,nc,88.5,37.0,north carolina,Alamance County,Alamance,27534.0,63420.0,53579.0,goldsboro,Goldsboro,nc,North Carolina,Wayne,33566.0,453.3,America/New_York,27534 27533 27530 27531 27532,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
grand forks,nd,90.7,38.0,north dakota,Grand Forks County,Grand Forks city,58203.0,61129.0,46144.0,grand forks,Grand Forks,nd,North Dakota,Grand Forks,70475.0,813.0,America/Chicago,58202 58203 58201 58206 58208,609.0,598.0,3.88,3.76,14.19,11.92,19.39,32.97,46.21,59.65,67.67999999999999,68.85,63.29999999999999,51.18888888888889,36.01111111111111,22.366666666666667
grand island,ne,88.8,31.0,nebraska,Adams County,Ayr,68801.0,39372.0,36916.0,grand island,Grand Island,ne,Nebraska,Hall,52822.0,677.9,America/Chicago,68803 68801,592.0,589.0,3.77,3.57,27.1,25.910000000000004,32.45,43.08,52.46,64.33,72.6,73.32000000000001,69.01111111111112,58.17777777777778,44.44444444444444,33.36666666666667
grand junction,co,98.1,8.0,colorado,Adams County,Brighton city,81501.0,43707.0,30506.0,grand junction,Grand Junction,co,Colorado,Mesa,138416.0,628.7,America/Denver,81503 81506 81507 81505 81504 81501 81502,588.0,582.0,3.69,3.49,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1
grand rapids,mi,93.7,26.0,michigan,Alcona County,Hubbard Lake,49505.0,54368.0,49858.0,grand rapids,Grand Rapids,mi,Michigan,Kent,609023.0,1708.2,America/Detroit,49546 49506 49505 49503 49507 49504 49508 49501 49502 49514 49515 49523 49555 49588 49599,610.0,594.0,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777
grants pass,or,106.6,41.0,oregon,Baker County,Baker City city,97526.0,44937.0,27418.0,grants pass,Grants Pass,or,Oregon,Josephine,39131.0,1311.6,America/Los_Angeles,97526 97527 97528,523.0,524.0,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778
great falls,mt,91.1,30.0,montana,Beaverhead County,Wisdom,59403.0,39903.0,30495.0,great falls,Great Falls,mt,Montana,Cascade,67300.0,1008.5,America/Denver,59404 59401 59405 59406,558.0,561.0,3.69,3.4,22.45,21.76,26.68,36.45,45.41,55.5,64.03999999999999,66.84,60.77777777777778,49.44444444444444,37.2,26.83333333333333
greeley,co,106.1,8.0,colorado,Weld County,Greeley city,80634.0,60804.0,48659.0,greeley,Greeley,co,Colorado,Weld,140984.0,843.2,America/Denver,80631 80634 80632 80633 80638 80639,588.0,582.0,3.69,3.49,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1
green bay,wi,91.4,55.0,wisconsin,Adams County,Adams city,54304.0,47427.0,38266.0,green bay,Green Bay,wi,Wisconsin,Brown,225633.0,907.1,America/Chicago,54304 54303 54302 54301 54311 54305 54306 54308,606.0,591.0,3.77,3.64,19.03,15.46,22.79,35.55,48.42,60.65,67.54,68.34,64.22222222222223,54.18888888888889,40.06666666666667,27.73333333333333
greeneville,tn,86.5,47.0,tennessee,Anderson County,Clinton city,37745.0,31241.0,23420.0,greeneville,Greeneville,tn,Tennessee,Greene,15458.0,351.2,America/New_York,37745 37743 37744,574.0,581.0,3.7,3.6,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778
greensboro,nc,91.0,37.0,north carolina,Alamance County,Alamance,27405.0,27719.0,21342.0,greensboro,Greensboro,nc,North Carolina,Guilford,347130.0,873.2,America/New_York,27411 27410 27412 27301 27455 27408 27409 27403 27401 27406 27407 27405 27214 27402 27404 27413 27417 27420 27427 27429 27435 27438 27495 27497 27498 27499,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
greenville,nc,89.8,37.0,north carolina,Alamance County,Alamance,27858.0,45944.0,31699.0,greenville,Greenville,nc,North Carolina,Pitt,127574.0,906.4,America/New_York,27834 27858 28590 27833 27835 27836,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
greenville,sc,95.0,45.0,south carolina,Greenville County,Greenville city,29607.0,63183.0,42074.0,greenville,Greenville,sc,South Carolina,Greenville,401443.0,917.9,America/New_York,29614 29607 29605 29601 29609 29602 29603 29604 29612 29616,488.0,488.0,3.51,3.32,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.6888888888889,59.833333333333336,51.96666666666667
greenwood,sc,88.7,45.0,south carolina,Abbeville County,Abbeville city,29649.0,61926.0,50648.0,greenwood,Greenwood,sc,South Carolina,Greenwood,22528.0,523.3,America/New_York,29649 29646 29647 29648,488.0,488.0,3.51,3.32,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.6888888888889,59.833333333333336,51.96666666666667
gulfport,ms,86.8,28.0,mississippi,Adams County,Cloverdale,39507.0,107056.0,82806.0,gulfport,Gulfport,ms,Mississippi,Harrison,228022.0,503.4,America/Chicago,39501 39503 39507 39502 39505 39506,567.0,582.0,3.79,3.72,48.16,47.86,53.760000000000005,60.44,67.67999999999999,75.42999999999999,80.06,80.72,78.74444444444445,72.0,60.45555555555556,52.333333333333336
hammond,la,89.0,22.0,louisiana,Acadia Parish,Crowley city,70401.0,46574.0,32879.0,hammond,Hammond,la,Louisiana,Tangipahoa,76032.0,548.3,America/Chicago,70402 70403 70401 70404,561.0,564.0,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666
hanford,ca,105.4,6.0,california,Alameda County,Alameda city,93232.0,94000.0,88623.0,hanford,Hanford,ca,California,Kings,68122.0,1280.0,America/Los_Angeles,93230,507.0,496.0,3.42,3.1,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.3111111111111,56.93333333333333,48.47777777777778
harrisburg,pa,95.8,42.0,pennsylvania,Adams County,Abbottstown,17110.0,53052.0,41650.0,harrisburg,Harrisburg,pa,Pennsylvania,Dauphin,498329.0,2380.4,America/New_York,17101 17102 17103 17104 17120 17110 17105 17108 17121 17122 17123 17124 17125 17126 17127 17128 17129 17130,505.0,499.0,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
harrisonburg,va,95.5,51.0,virginia,Accomack County,Chincoteague,22802.0,57114.0,39365.0,harrisonburg,Harrisonburg,va,Virginia,Harrisonburg,73160.0,1153.3,America/New_York,22801 22802 22807 22803,517.0,518.0,3.47,3.17,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889
hartford,ct,104.8,9.0,connecticut,Fairfield County,Bethel,6120.0,68135.0,63583.0,hartford,Hartford,ct,Connecticut,Capitol,974684.0,2689.4,America/New_York,06106 06105 06103 06120 06112 06114 06101 06102 06104 06115 06123 06126 06127 06132 06133 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06152 06154 06160 06167 06176 06183,506.0,504.0,3.33,3.16,31.01,28.610000000000003,33.02,41.88,53.06,62.970000000000006,70.33,72.63,68.06666666666666,59.43333333333333,47.81111111111111,37.82222222222222
hattiesburg,ms,86.1,28.0,mississippi,Adams County,Cloverdale,39401.0,56055.0,300000.0,hattiesburg,Hattiesburg,ms,Mississippi,Forrest,76501.0,350.2,America/Chicago,39401 39402 39406 39403 39407,567.0,582.0,3.79,3.72,48.16,47.86,53.760000000000005,60.44,67.67999999999999,75.42999999999999,80.06,80.72,78.74444444444445,72.0,60.45555555555556,52.333333333333336
helena,mt,104.2,30.0,montana,Jefferson County,South Hills,59601.0,119678.0,300000.0,helena,Helena,mt,Montana,Lewis and Clark,32529.0,744.9,America/Denver,59601 59602 59625 59623 59624 59626,558.0,561.0,3.69,3.4,22.45,21.76,26.68,36.45,45.41,55.5,64.03999999999999,66.84,60.77777777777778,49.44444444444444,37.2,26.83333333333333
hickory,nc,89.8,37.0,north carolina,Alamance County,Alamance,28601.0,41981.0,31203.0,hickory,Hickory,nc,North Carolina,Catawba,206008.0,539.2,America/New_York,28601 28602 28603,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
hilo,hi,136.9,15.0,hawaii,Hawaii County,Hilo,96720.0,80587.0,68276.0,hilo,Hilo,hi,Hawaii,Hawaii,47627.0,343.0,Pacific/Honolulu,96720,509.0,487.0,3.4,3.15,73.5,73.6,73.9,75.5,76.5,78.0,79.0,80.0,79.0,78.0,76.0,74.0
hilton head island,sc,109.4,45.0,south carolina,Abbeville County,Abbeville city,29926.0,62146.0,43254.0,hilton head island,Hilton Head Island,sc,South Carolina,Beaufort,37708.0,352.1,America/New_York,29928 29926 29925 29938,488.0,488.0,3.51,3.32,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.6888888888889,59.833333333333336,51.96666666666667
hinesville,ga,90.8,13.0,georgia,Appling County,Baxley city,31313.0,46869.0,40009.0,hinesville,Hinesville,ga,Georgia,Liberty,34732.0,732.7,America/New_York,31313 31310,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
hobbs,nm,87.7,35.0,new mexico,Bernalillo County,Albuquerque city,88240.0,52982.0,58890.0,hobbs,Hobbs,nm,New Mexico,Lea,39782.0,581.7,America/Denver,88240 88244,545.0,551.0,3.58,3.36,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
homosassa springs,fl,95.5,,,,,,,,homosassa springs,Homosassa Springs,fl,Florida,Citrus,15365.0,235.7,America/New_York,34446 34448 34447,,,,,,,,,,,,,,,,
hot springs,ar,87.3,5.0,arkansas,Garland County,Fountain Lake,71901.0,52558.0,46562.0,hot springs,Hot Springs,ar,Arkansas,Garland,38025.0,392.0,America/Chicago,71901 71913 71902 71914,572.0,569.0,3.73,3.64,42.59,41.59,47.56,56.03,64.47,73.14,78.81,79.6,76.76666666666667,68.85555555555555,56.577777777777776,47.56666666666667
houma,la,89.9,22.0,louisiana,Acadia Parish,Crowley city,70363.0,49016.0,42529.0,houma,Houma,la,Louisiana,Terrebonne,143160.0,883.2,America/Chicago,70363 70360 70361,561.0,564.0,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666
